"","X","id","scenario","decider","acceptance","agreement","importance","age","gender","duration","trust","voter_influence","big5_agreeableness","big5_extraversion","big5_neuroticism","big5_conscientiousness","big5_openness","date_time","last_access","swing_voter","voting_intention","voting_pref","voting_pref_strength","one_party"
"1",1,331,"religious_education","experts",-0.5,2,3,44,"male",794,1.66666662693024,"strong influence",3.66666674613953,2,1,4,2.5,"2011-03-18 17:25:34","2011-03-18 17:38:48",0,"Greens","no favoured party",4,1
"2",2,603,"central_exam","referendum",0,2,1,33,"male",297,1,"some influence",3.66666674613953,3.5,4,3.5,4.5,"2011-03-21 17:29:50","2011-03-21 17:34:47",1,"Pirate Party","no favoured party",0,0
"3",3,266,"nuclear_energy","CDU",-2.5,1,5,64,"male",931,0.333333343267441,"strong influence",3.66666674613953,3.5,2,4,4,"2011-03-18 14:06:09","2011-03-18 14:21:40",0,"CDU","CDU",5,1
"4",4,374,"central_exam","referendum",-0.16666667163372,2,2,44,"male",632,0.666666686534882,"some influence",2.66666674613953,2,3.5,3,1.5,"2011-03-18 20:28:08","2011-03-18 20:38:40",0,"Pirate Party","CDU",3,1
"5",5,359,"religious_education","referendum",-0.833333313465118,2,2,52,"female",834,0.666666686534882,"almost no influence",2.66666674613953,3.5,2,3,4,"2011-03-18 19:00:46","2011-03-18 19:14:40",1,"Pirate Party","SPD",4,1
"6",6,448,"nuclear_energy","SPD",-0.333333343267441,1,3,44,"male",491,0.333333343267441,"some influence",3,5,2,3.5,3.5,"2011-03-19 14:30:27","2011-03-19 14:38:39",0,"CDU","CDU",5,1
"7",7,550,"central_exam","SPD",-1.33333337306976,1,4,29,"male",428,0,"some influence",2.66666674613953,2.5,1,3.5,2.5,"2011-03-21 13:31:13","2011-03-21 13:38:21",0,"Ecological Party","CDU",3,1
"8",8,144,"central_exam","party general",-2.66666674613953,1,5,22,"female",433,-0.333333343267441,"almost no influence",3,1.5,4,3,3,"2011-03-18 08:51:54","2011-03-18 08:59:07",1,"Pirate Party","other",1,0
"9",9,208,"nuclear_energy","SPD",-1.5,1,4,59,"male",667,1,"don't know",2.66666674613953,4,3,4,3.5,"2011-03-18 12:01:49","2011-03-18 12:12:56",0,"Free Voters","other",5,1
"10",10,894,"central_exam","SPD",1,1,4,50,"female",570,1.33333337306976,"almost no influence",3.66666674613953,3.5,2,5,3,"2011-03-23 16:01:10","2011-03-23 16:10:40",1,"Greens","CDU",3,0
"11",11,225,"religious_education","SPD",-0.666666686534882,2,3,61,"female",1042,0.333333343267441,"strong influence",3.33333325386047,4.5,4,3,3.5,"2011-03-18 12:37:48","2011-03-18 12:55:11",1,"SPD","SPD",4,1
"12",12,130,"religious_education","party general",-1,2,2,46,"male",567,0.666666686534882,"some influence",3.33333325386047,3.5,2,4,2.5,"2011-03-18 03:59:29","2011-03-18 04:08:56",0,"SPD","SPD",4,1
"13",13,455,"religious_education","SPD",-1,1,5,45,"male",693,0,"almost no influence",4,3,2,2.5,2.5,"2011-03-19 17:03:53","2011-03-19 17:15:26",1,"Left Party","no favoured party",0,0
"14",14,55,"central_exam","party general",0,2,1,56,"male",636,0.666666686534882,"some influence",4.33333349227905,5,3.5,4,4.5,"2011-03-17 17:34:04","2011-03-17 17:44:40",0,"SPD","SPD",4,1
"15",15,247,"religious_education","experts",-0.5,1,2,51,"female",646,0.333333343267441,"some influence",2.66666674613953,2.5,2.5,4,4,"2011-03-18 13:25:21","2011-03-18 13:36:07",1,"SPD","SPD",3,0
"16",16,200,"central_exam","SPD",-2,1,3,63,"male",693,0,"almost no influence",3.33333325386047,2.5,2.5,4,3,"2011-03-18 11:46:50","2011-03-18 11:58:23",0,"Left Party","Left Party",4,1
"17",17,808,"religious_education","experts",-0.833333313465118,1,3,51,"female",1295,0.333333343267441,"some influence",4,2.5,3,4,3,"2011-03-22 19:21:21","2011-03-22 19:42:56",0,"SPD","SPD",3,1
"18",18,876,"central_exam","CDU",-0.666666686534882,2,3,19,"female",1000,0.333333343267441,"strong influence",3.66666674613953,3.5,3,3.5,3,"2011-03-23 13:17:36","2011-03-23 13:34:16",0,"CDU","CDU",4,1
"19",19,876,"nuclear_energy","CDU",-0.5,2,3,19,"female",1000,0.333333343267441,"strong influence",3.66666674613953,3.5,3,3.5,3,"2011-03-23 13:17:36","2011-03-23 13:34:16",0,"CDU","CDU",4,1
"20",20,474,"religious_education","SPD",-2.83333325386047,1,4,37,"male",437,0.333333343267441,"almost no influence",3.33333325386047,2,4,3.5,2.5,"2011-03-20 08:51:45","2011-03-20 08:59:02",0,"CDU","CDU",4,1
"21",21,405,"religious_education","CDU",0,2,1,48,"male",484,-0.333333343267441,"almost no influence",2,4,2.5,4,3,"2011-03-19 07:36:48","2011-03-19 07:44:52",0,"SPD","SPD",4,1
"22",22,130,"nuclear_energy","party general",0.5,2,4,46,"male",567,0.666666686534882,"some influence",3.33333325386047,3.5,2,4,2.5,"2011-03-18 03:59:29","2011-03-18 04:08:56",0,"SPD","SPD",4,1
"23",23,728,"religious_education","SPD",-1.5,1,4,68,"male",704,0.666666686534882,"almost no influence",2.66666674613953,3,2,4,3,"2011-03-22 11:41:22","2011-03-22 11:53:06",0,"CDU","CDU",4,1
"24",24,869,"central_exam","referendum",-1.33333337306976,2,4,60,"female",807,1.33333337306976,"some influence",3.66666674613953,3.5,4,5,4.5,"2011-03-23 12:08:32","2011-03-23 12:21:59",0,"SPD","SPD",4,1
"25",25,233,"central_exam","referendum",-1,2,2,20,"female",456,0.666666686534882,"no response",2.66666674613953,4,2.5,2.5,3.5,"2011-03-18 13:02:30","2011-03-18 13:10:06",1,"I would not vote","other",1,0
"26",26,905,"central_exam","referendum",-1,2,1,59,"female",1171,-0.333333343267441,"almost no influence",2.33333325386047,2.5,3,4.5,3,"2011-03-23 17:16:30","2011-03-23 17:36:01",NA,"I would not vote","CDU",3,0
"27",27,297,"nuclear_energy","party general",-0.333333343267441,1,1,35,"male",227,0.666666686534882,"no response",2.66666674613953,3,3,3,3,"2011-03-18 15:44:20","2011-03-18 15:48:07",0,"NPD","DVU/REP/NPD",3,1
"28",28,292,"religious_education","CDU",-1.16666662693024,2,2,31,"female",522,1,"some influence",2.66666674613953,1.5,3.5,3,4,"2011-03-18 15:22:59","2011-03-18 15:31:41",0,"Greens","Greens",4,1
