No,area,dealer,modelyear,grade,run,displ,AT,audio,navi,color,damage,precord,price
1,osaka,0,2001,T,79046,1400,1,1,0,silver,1,0,95
2,kobe,0,2001,GX,2556,1600,1,1,0,silver,0,0,146
3,kobe,1,2006,G,14172,1400,1,1,1,white,3,0,130
4,kyoto,1,2008,S,4971,1400,1,1,0,blue,0,0,135
5,kobe,1,2006,S,44282,1600,1,1,1,white,0,0,125
6,kobe,0,2004,GX,52673,1600,1,0,0,white,3,0,117
7,kyoto,0,2002,T,78164,1600,1,1,0,white,0,0,101
8,osaka,0,2006,T,17071,1400,1,0,0,brack,1,1,122
9,kyoto,0,2006,S,76189,1400,1,0,1,brack,4,0,110
10,kyoto,1,2007,G,1215,1800,1,1,0,silver,0,0,164
11,kobe,1,2005,S,38829,1400,1,0,0,silver,0,0,128
12,kobe,1,2002,T,40628,1800,1,1,0,silver,0,0,106
13,kobe,1,2003,T,66951,1400,1,1,0,brack,0,0,112
14,kobe,1,2001,GX,31486,1600,1,1,1,silver,0,0,142
15,kyoto,1,2006,G,13193,1600,1,1,1,white,0,0,152
16,kyoto,1,2000,GX,61334,1600,1,1,1,blue,0,0,125
17,kyoto,1,2001,T,74722,1400,1,1,0,white,5,0,73
18,kobe,1,2004,GX,39813,1400,1,1,0,brack,0,1,112
19,kyoto,0,2001,GX,38836,1800,1,1,1,white,0,0,136
20,osaka,0,2004,G,26658,1800,1,1,1,silver,1,0,142
21,kyoto,1,2003,T,50429,1800,1,0,1,white,0,0,147
22,kobe,0,2002,GX,31361,1800,1,1,0,white,2,0,103
23,kyoto,0,2006,T,79606,1400,1,1,0,brack,0,0,128
24,kobe,1,2006,S,11577,1800,1,1,0,white,0,0,131
25,kyoto,0,2001,T,14726,1400,1,1,1,silver,0,0,125
26,kobe,1,2004,T,27685,1800,1,1,1,brack,5,0,85
27,kyoto,0,2001,T,3386,1600,1,1,0,white,0,0,135
28,osaka,0,2002,T,64356,1600,1,1,1,silver,0,0,120
29,kyoto,0,2008,GX,972,1600,0,0,1,brack,0,0,148
30,kyoto,1,2007,GX,54501,1800,1,1,1,silver,0,0,142
31,kyoto,1,2005,T,38321,1800,1,0,1,silver,0,0,132
32,kyoto,0,2004,GX,55834,1600,1,0,1,blue,0,0,112
33,kobe,0,2000,G,625,1400,1,1,0,brack,4,0,105
34,kyoto,1,2006,G,14260,1800,1,1,0,white,0,0,132
35,kyoto,1,2004,G,12109,1600,1,0,0,silver,0,0,109
36,osaka,0,2001,G,23625,1400,0,1,0,silver,2,0,92
37,osaka,1,2006,T,14087,1800,1,0,1,blue,1,0,121
38,osaka,0,2004,S,75988,1800,1,1,1,white,2,0,110
39,kobe,1,2005,G,63065,1800,1,0,0,white,1,0,144
40,kyoto,0,2002,G,23544,1600,1,1,0,silver,0,1,124
41,kobe,1,2001,S,77734,1400,1,1,0,white,0,0,93
42,kyoto,1,2001,T,45583,1800,0,1,1,white,1,0,139
43,kobe,1,2006,T,24323,1600,1,1,0,silver,1,0,123
44,kyoto,0,2002,S,10982,1400,1,1,1,blue,0,0,119
45,osaka,0,2001,GX,38038,1800,1,0,1,white,1,0,134
46,kyoto,0,2000,G,65954,1400,1,1,0,silver,0,0,95
47,kyoto,0,2006,S,28653,1800,0,1,1,white,2,0,111
48,kobe,0,2005,S,723,1600,1,1,0,silver,0,1,154
49,kobe,1,2002,GX,30394,1600,1,0,1,white,0,0,138
50,kobe,0,2004,G,59369,1400,1,1,0,silver,2,0,94
51,kobe,0,2007,GX,36622,1600,1,1,1,blue,0,0,142
52,kobe,1,2000,G,27941,1800,1,1,0,silver,1,0,104
53,osaka,0,2005,T,17971,1800,1,1,1,silver,0,0,146
54,kobe,1,2001,T,1894,1400,1,1,0,white,1,0,124
55,kyoto,0,2003,GX,4765,1600,1,1,1,brack,0,1,120
56,osaka,1,2008,G,7225,1800,1,1,0,white,0,0,148
57,kobe,0,2005,G,10767,1600,0,1,1,brack,0,0,135
58,kobe,0,2007,T,48910,1400,1,1,0,white,0,0,134
59,kobe,0,2000,S,67004,1400,1,0,0,silver,5,0,68
60,osaka,1,2007,G,31507,1800,1,0,0,brack,1,0,143
61,osaka,0,2002,GX,23381,1800,1,0,0,blue,1,0,92
62,osaka,1,2006,S,709,1600,1,0,0,silver,3,0,128
63,kyoto,0,2008,S,4919,1600,1,1,0,white,1,0,132
64,kyoto,1,2007,GX,70638,1800,1,0,0,brack,2,0,126
65,osaka,0,2007,GX,65202,1800,1,1,1,brack,0,0,170
66,kobe,1,2005,T,27596,1800,1,1,0,blue,0,0,126
67,osaka,0,2007,S,32712,1600,0,1,1,blue,1,0,141
68,kobe,1,2005,GX,37856,1400,1,0,0,white,1,0,109
69,kobe,1,2005,S,49884,1600,1,0,0,brack,0,0,134
70,osaka,1,2001,S,71468,1800,1,0,1,blue,1,0,97
71,osaka,0,2001,GX,66325,1400,1,1,1,brack,0,0,127
72,kobe,1,2004,G,78498,1600,1,0,0,red,0,0,129
73,kyoto,0,2006,G,10057,1400,1,1,0,silver,0,0,144
74,kobe,0,2004,T,79185,1800,1,1,1,white,2,0,100
75,osaka,0,2008,G,71536,1400,1,1,0,white,1,0,117
76,osaka,0,2001,G,23697,1400,1,1,0,silver,1,0,108
77,kyoto,1,2003,S,64171,1400,1,1,1,brack,1,0,119
78,osaka,1,2002,S,67105,1800,1,0,0,brack,1,0,120
79,kobe,0,2001,S,17397,1600,1,0,0,blue,0,0,88
80,osaka,1,2002,G,67511,1800,1,1,0,brack,0,0,112
81,osaka,1,2005,S,3790,1800,1,1,1,white,0,0,150
82,osaka,1,2003,G,54601,1600,1,0,1,white,0,0,131
83,osaka,0,2003,GX,30549,1800,1,1,1,white,1,0,127
84,kobe,0,2008,GX,58265,1800,1,1,1,brack,0,0,160
85,osaka,1,2003,T,31262,1800,1,1,0,white,2,0,117
86,kyoto,1,2006,G,69577,1800,1,1,0,white,0,0,138
87,kyoto,0,2000,G,28427,1800,1,1,0,brack,1,0,116
88,osaka,0,2000,S,78650,1800,1,0,1,white,0,0,97
89,kyoto,0,2006,T,45319,1400,1,1,0,brack,0,1,104
90,kobe,1,2005,S,36596,1800,1,1,0,white,0,0,127
91,kyoto,1,2004,GX,66739,1800,1,1,0,silver,1,0,141
92,osaka,1,2000,T,1680,1600,1,0,0,white,0,0,133
93,osaka,1,2002,T,36937,1600,1,1,1,silver,0,0,156
94,kyoto,1,2007,GX,10021,1600,1,0,0,white,0,0,138
95,osaka,1,2004,T,73484,1600,1,1,0,silver,0,0,123
96,kyoto,0,2005,G,61359,1800,1,1,0,white,3,0,103
97,osaka,0,2004,T,58096,1400,1,1,1,white,5,0,91
98,osaka,0,2001,G,47428,1800,1,0,1,brack,4,0,116
99,osaka,1,2007,S,54065,1800,1,1,0,silver,4,0,105
100,kobe,0,2003,G,24915,1800,1,0,1,white,0,0,142
101,kobe,1,2007,G,38330,1800,1,1,1,brack,0,0,145
102,osaka,1,2000,T,48907,1600,0,1,0,white,1,0,94
103,osaka,0,2007,GX,65294,1800,1,1,0,white,0,0,124
104,kobe,1,2004,G,40954,1600,1,1,1,silver,1,0,127
105,kobe,0,2007,GX,2705,1800,1,1,0,blue,1,1,146
106,kyoto,0,2003,G,24716,1400,1,0,0,brack,1,0,118
107,kyoto,0,2006,S,38367,1400,1,1,1,white,2,0,122
108,kyoto,0,2008,G,7013,1600,1,1,0,white,1,0,138
109,kobe,0,2005,S,49910,1600,1,1,1,white,1,0,129
110,kobe,1,2005,G,8397,1600,1,1,1,silver,5,0,118
111,kyoto,1,2007,T,18296,1800,1,1,0,silver,1,0,144
112,kyoto,0,2002,T,75253,1600,1,1,0,white,2,0,88
113,kyoto,0,2003,T,52358,1800,1,1,1,blue,0,0,120
114,kyoto,0,2004,GX,22850,1600,1,1,0,silver,0,0,138
115,kobe,0,2003,T,55272,1600,1,1,0,silver,0,1,80
116,osaka,1,2007,S,75109,1800,1,1,0,brack,1,0,140
117,kyoto,1,2005,GX,49601,1800,1,1,1,blue,0,0,123
118,kyoto,0,2001,S,29839,1400,1,0,0,brack,0,0,85
119,kobe,0,2008,T,56668,1800,1,1,0,red,1,0,141
120,kyoto,0,2002,GX,920,1800,1,0,0,brack,0,1,131
121,kyoto,1,2006,GX,30912,1800,1,1,0,brack,3,0,134
122,kobe,0,2005,GX,58388,1400,1,0,0,white,0,0,114
123,kobe,1,2004,S,56800,1800,1,1,0,brack,0,0,124
124,kobe,1,2002,S,19616,1400,1,1,0,white,1,1,78
125,kyoto,0,2004,S,10943,1800,1,1,0,silver,1,0,131
126,osaka,0,2006,GX,22704,1600,1,1,1,silver,0,0,140
127,osaka,1,2004,T,55772,1800,0,1,1,red,0,1,124
128,kobe,0,2004,G,26789,1400,1,1,1,brack,4,0,138
129,osaka,1,2008,S,24516,1800,0,1,0,white,5,0,104
130,kobe,1,2001,GX,36280,1400,1,0,0,brack,0,0,94
131,osaka,1,2007,S,75538,1600,1,1,1,silver,4,0,114
132,kyoto,0,2000,T,68094,1600,1,1,0,silver,1,0,92
133,kyoto,0,2005,GX,71225,1800,1,1,0,white,2,0,127
134,osaka,0,2002,GX,71507,1600,1,0,0,brack,2,0,105
135,osaka,1,2008,S,51768,1600,1,1,0,brack,0,0,134
136,osaka,0,2005,S,45586,1600,1,1,1,red,0,0,138
137,kyoto,0,2003,G,77839,1600,1,0,0,white,0,0,126
138,kyoto,0,2007,G,6077,1400,1,1,0,white,0,0,130
139,kyoto,1,2000,GX,35826,1400,1,1,0,white,0,0,107
140,kobe,1,2002,GX,73980,1400,1,1,0,brack,0,0,125
141,kyoto,1,2004,GX,56197,1400,1,1,1,silver,0,0,142
142,osaka,0,2007,S,45969,1800,1,1,0,blue,1,0,126
143,kobe,1,2005,G,38729,1400,1,1,1,white,1,0,123
144,kyoto,0,2001,G,73168,1400,0,1,0,brack,1,0,93
145,osaka,1,2002,G,52141,1400,1,1,0,white,1,0,93
146,osaka,1,2004,S,23052,1600,1,1,1,blue,0,0,120
147,kobe,0,2004,GX,20989,1800,1,1,1,brack,2,0,138
148,kyoto,1,2006,S,31482,1600,1,1,1,silver,4,0,126
149,osaka,1,2000,S,48285,1800,1,0,0,white,2,0,93
150,kobe,1,2002,G,43355,1800,1,1,0,blue,1,0,96
151,kobe,1,2005,GX,12538,1800,1,1,0,silver,1,0,129
152,kyoto,1,2006,GX,14785,1400,1,0,0,white,1,0,119
153,kobe,1,2001,G,36687,1600,1,0,0,brack,1,0,110
154,kyoto,0,2007,G,37300,1600,1,1,0,red,0,0,140
155,osaka,0,2004,T,25103,1400,1,1,1,silver,1,0,124
156,kobe,0,2003,GX,60446,1600,1,1,0,silver,1,0,120
157,kobe,1,2006,T,8444,1600,1,1,0,white,0,0,129
158,osaka,1,2002,S,70362,1800,1,1,1,red,2,0,120
159,kobe,1,2003,GX,51420,1600,1,1,0,white,5,0,83
160,kobe,1,2004,S,59982,1600,1,1,1,red,3,0,112
161,osaka,0,2002,G,55354,1800,1,1,1,silver,0,0,127
162,kobe,1,2008,T,49373,1800,1,1,1,blue,0,0,148
163,kobe,1,2001,T,69779,1600,1,1,0,white,1,0,84
164,kyoto,0,2005,T,31957,1600,1,0,1,red,3,0,127
165,kobe,0,2000,S,26653,1800,1,1,0,white,0,0,104
166,kyoto,0,2001,T,63296,1400,1,1,1,white,0,0,109
167,kyoto,1,2007,G,35885,1600,1,1,0,brack,1,0,141
168,kobe,1,2008,GX,34180,1400,1,1,0,brack,1,1,124
169,osaka,1,2005,G,22917,1800,1,1,0,white,1,0,138
170,kobe,1,2004,GX,59158,1600,1,1,0,silver,0,0,126
