"","university","percent_disagree_strongly_2020","percent_disagree_mildly_2020","percent_neutral_2020","percent_agree_mildly_2020","percent_agree_strongly_2020","sample_size_2020","respondents_2020","percent_disagree_strongly_2021","percent_disagree_mildly_2021","percent_neutral_2021","percent_agree_mildly_2021","percent_agree_strongly_2021","sample_size_2021","respondents_2021"
"1","University of Aberdeen",2,5,7,44,43,2523,1525,2,6,7,45,39,2023,1294
"2","Abertay University",2,3,6,38,51,683,470,4,7,9,41,38,965,672
"3","Aberystwyth University",2,3,5,36,54,1527,1215,4,5,8,38,45,1559,1226
"4","ACM Guildford Limited",8,15,17,46,14,517,373,20,18,18,34,9,384,279
"5","Activate Learning",13,13,20,39,15,81,54,16,14,17,33,21,83,58
"6","AECC University College",4,0,14,51,31,78,49,9,19,18,43,13,108,80
"7","All Nations Christian College Limited",0,0,7,20,73,19,15,NA,NA,NA,NA,NA,NA,NA
"8","ALRA",2,0,8,23,67,61,52,6,4,13,45,32,56,47
"9","Anglia Ruskin University Higher Education Corporation",2,6,9,45,36,5009,3520,5,8,13,41,33,4661,3167
"10","Architectural Association (Incorporated)",1,5,11,43,40,127,91,2,3,18,23,55,86,66
"11","Arden University Limited",4,7,8,44,37,391,264,5,6,13,37,39,922,661
"12","Arts Educational Schools(The)",6,6,8,19,62,73,53,1,0,7,23,68,81,69
"13","Arts University Bournemouth, the",2,5,5,36,52,1061,814,5,9,14,42,30,890,608
"14","University of the Arts, London",5,9,15,42,29,3991,2944,10,14,17,38,20,4101,2925
"15","Askham Bryan College",5,7,10,44,33,111,96,4,14,14,46,21,115,98
"16","Assemblies of God Incorporated",0,7,7,43,43,18,14,NA,NA,NA,NA,NA,NA,NA
"17","Aston University",3,6,8,52,32,2600,1822,5,8,12,48,27,2831,2048
"18","Bangor University",3,5,8,40,45,1983,1344,5,8,12,39,36,2039,1339
"19","Barking and Dagenham College",0,0,7,20,73,23,15,NA,NA,NA,NA,NA,NA,NA
"20","Barnet & Southgate College",1,1,4,38,55,102,71,7,4,7,29,53,83,55
"21","Barnsley College",1,5,5,39,49,146,112,3,5,8,34,50,134,117
"22","The University of Bath",1,4,7,47,41,2995,2237,2,4,7,46,40,3104,2356
"23","Bath College",0,0,13,38,50,26,16,11,11,11,16,53,24,19
"24","Bath Spa University",4,7,11,44,35,1703,1248,5,10,12,43,29,1570,1216
"25","Bedford College",8,12,23,40,17,81,52,7,9,18,33,33,71,45
"26","University of Bedfordshire",6,9,12,42,31,1670,1279,6,10,16,40,28,1784,1298
